d,monte_carlo,finite_theory,mean_field,abs_error,jensen_gap
16,0.657833131897186,0.6502478549011674,0.660343649739563,0.00758527699601852,0.0025105178423771024
32,0.5941846010821143,0.5922348927883367,0.5948391934149646,0.0019497082937776078,0.0006545923328502568
64,0.5635040536682234,0.5632284117319214,0.5639244580035914,0.00027564193630202904,0.000420404335367941
128,0.54870195677393,0.5487251712037138,0.5489224249376602,2.3214429783813273e-05,0.00022046816373022526
256,0.541571664085731,0.5414735509396099,0.5415345895885004,9.811314612107047e-05,-3.707449723056033e-05
512,0.5379813087564304,0.5378477408075579,0.5378688766815478,0.00013356794887242618,-0.00011243207488254026
