d,inv_d,E_u,E_u2,theory_u2,E_u4,theory_u4,loss_mc,loss_se,loss_finite,loss_meanfield,baseline,partition_cv2_mc,partition_cv2_gaussian,max_logit_mean
8,0.125,0.0071554109894760775,0.1279708251874729,0.125,0.039077765673551666,0.0375,0.8231868734930536,0.002126434381122709,0.8171706180599453,0.8259394198788436,0.6931471805599455,0.008657314810576574,0.010136269854689503,1.4888803060602356
12,0.08333333333333333,0.008164476259685118,0.0881901735687045,0.08333333333333333,0.01886960349071308,0.017857142857142856,0.7787539525437925,0.0016345645023872878,0.7758294722266119,0.7799487247663041,0.6931471805599455,0.005457333582851949,0.006181444141970149,1.2613827191093627
16,0.0625,0.001872474871253483,0.06593626864253768,0.0625,0.01054394995238561,0.010416666666666666,0.7580003911509051,0.0014058930354091867,0.7551588993099453,0.7575990353171691,0.6931471805599455,0.004214312217525491,0.004437897135745959,1.1061566347408474
24,0.041666666666666664,-0.006784994598007466,0.040904767587249286,0.041666666666666664,0.004651306910036149,0.004807692307692308,0.7360177998405962,0.0011295055002288619,0.7344883263932787,0.7356816517249078,0.6931471805599455,0.0028423668143957503,0.0028337564510257165,0.9314757342125329
32,0.03125,0.011047211019548829,0.03174591601368341,0.03125,0.002701968011244101,0.0027573529411764708,0.724781930487257,0.000969073482589442,0.7241530399349453,0.7248853823577754,0.6931471805599455,0.002127321308597479,0.0020804445791691613,0.8123683307972521
48,0.020833333333333332,-0.008236009994034132,0.01903362777813391,0.020833333333333332,0.001112732812410993,0.00125,0.7132456555760548,0.0007725119850337987,0.7138177534766119,0.7141975120856415,0.6931471805599455,0.0013775833456264042,0.001357875773769203,0.6626380666049545
64,0.015625,-0.005801466519749622,0.016408640571613776,0.015625,0.0007381178938068697,0.0007102272727272727,0.7081924343665688,0.0006597071709622888,0.7086501102474453,0.7088942459057149,0.6931471805599455,0.0010150826157216217,0.0010077259205915519,0.5669146513865425
96,0.010416666666666666,-0.0012640717200003305,0.009357199831575796,0.010416666666666666,0.0002557608127491068,0.00031887755102040814,0.7034850444214891,0.0004853290626242888,0.7034824670182787,0.7036180997177162,0.6931471805599455,0.000553657083210611,0.0006647953935936153,0.4796783472587387
128,0.0078125,-0.0014883426949245469,0.007853489725482346,0.0078125,0.00018570560989727,0.00018028846153846155,0.7005293874611198,0.00043191200402163747,0.7008986454036953,0.7009901978276345,0.6931471805599455,0.00044096879070394256,0.0004959907421734806,0.41390623981361013
