d,monte_carlo,finite_theory,mean_field,abs_error,jensen_gap
32,0.5635794445787428,0.5627298439479441,0.563895352191836,0.0008496006307986415,0.0003159076130931915
64,0.5430520602188305,0.5428489629736785,0.543141526391031,0.00020309724515199523,8.946617220051412e-05
128,0.5329496681457561,0.5329085224865456,0.5329825480931092,4.1145659210428676e-05,3.287994735312605e-05
256,0.527873244550673,0.5279383022429792,0.527957289628041,6.505769230624736e-05,8.404507736803346e-05
512,0.5254739936050529,0.525453192121196,0.5254581844183627,2.0801483856858205e-05,-1.5809186690196597e-05
1024,0.5242391894720059,0.5242106370603044,0.5242120084882184,2.855241170152123e-05,-2.7180983787511437e-05
